主机ID,供应商(必填),品牌(必填),内网IP(必填),IPMI,外网IP,固资编号,设备SN,备注,主机名称,质保年限,业务拓扑
数字,短字符,短字符,短字符,短字符,短字符,短字符,短字符,长字符,短字符,数字,
bk_host_id,vendor,brand,bk_host_innerip,ipmi_ip,bk_host_outerip,bk_asset_id,bk_sn,bk_comment,bk_host_name,bk_service_term,
1,,,10.87.80.1,,,,,,SH-TG-C5-FB1,,上证云平台##上海##C5
2,,,10.131.79.170,,,,,,SH-TG-F1-ZF10,,上证云平台##上海##F1
3,,,10.131.79.160,,,,,,SH-TG-F1-ZF9,,上证云平台##上海##F1
4,,,10.131.79.60,,,,,,SH-TG-F1-ZF7,,上证云平台##上海##F1
5,,,10.131.79.70,,,,,,SH-TG-F1-ZF8,,上证云平台##上海##F1
8,,,10.87.80.131,,,,,,SH-TG-C5-LVS2,,上证云平台##上海##C5
9,,,10.87.80.121,,,,,,SH-TG-C5-FB13,,上证云平台##上海##C5
10,,,10.132.17.20,,,,,,ZZ-EC-C2-ZF2,,上证云平台##郑州##C2
11,,,10.132.11.10,,,,,,BJ-TC-C5-RZF2,,上证云平台##北京##C5
12,,,10.132.17.30,,,,,,ZZ-EC-C1-RZF2,,上证云平台##郑州##C1
