实例ID,主机名(必填),内网IP(必填),状态(必填),宿主机(必填),元数据(必填),操作系统(必填),专线IP,其他IP,公网IP,审计IP,网络类型,LVS状态,应用,证书,租户,深圳网关IP,云平台LDDSIP,转发IP,LDDSIP,系统信息
数字,短字符,短字符,枚举,单关联(云区域##内网IP##IPMI),单关联(实例名),单关联(实例名),短字符,短字符,单关联(实例名),单关联(实例名),枚举,枚举,多关联(实例名),多关联(实例名),短字符,单关联(实例名),多关联(实例名),多关联(实例名),多关联(主机名##内网IP1##内网IP2##下游IP##监控IP##上游IP1##上游IP2),长字符
bk_inst_id,bk_inst_name,lan_ip,status,host,metadata,os,special_ip,other_ip,wan_ip,audit_ip,nettype,lvsstatus,app,credit,tenant,szwg_ip,public_ldds_ip,zf_ip,ldds_ip,ansible_fact
12,TG-C5-FB1-VM2,10.87.80.3,,0##10.87.80.1##,6_16_200,CentOS-200G-20170906,,,182.118.47.140,,,,,,,,,,,
67,TG-F1-ZF7-VM4,172.23.79.64,,0##10.131.79.60##,4_8_100,W2K8-R2-100G-20160309,10.131.79.64,,,,,,ldds_idc,"DDS_SH_YUN.64
DRS_SH_YUN.64",,,,,LJZ-LDDS-L2-1##172.39.33.61##172.39.34.61##172.39.35.61##172.39.12.61####,
68,TG-F1-ZF8-VM5,172.23.79.75,,0##10.131.79.70##,4_8_100,W2K8-R2-100G-20160309,10.131.79.75,10.199.44.165,,,,,szgw_all,,,,,,,
69,TG-F1-ZF9-VM2,172.23.79.162,,0##10.131.79.160##,4_8_100,W2K8-R2-100G-20160309,10.131.79.162,,,,,,hx_sz,,,172.23.79.75,,,,
70,TG-F1-ZF10-VM2,172.23.79.172,,0##10.131.79.170##,4_8_100,W2K8-R2-100G-20160309,10.131.79.172,,,,,,"hx_sh
ldds_vde",VDE_SHF1_YUN.172,,,"172.23.79.64
172.22.11.13",,,
71,TG-C5-FB13-VM4,10.87.80.125,,0##10.87.80.121##,6_16_200,CentOS-200G-20170906,,,,,,,lvs,,,,,,,
72,TG-C5-LVS2-VM1,10.87.80.132,,0##10.87.80.131##,6_16_200,CentOS-200G-20170906,,,,,,,lvs,,,,,,,
89,EC-C2-ZF2-VM2,172.22.17.232,,0##10.132.17.20##,4_8_100,W2K8-R2-100G-20160309,10.132.17.22,10.199.5.220,,,,,szgw_all,,,,,,,
95,TC-C5-RZF2-VM3,172.22.11.13,,0##10.132.11.10##,4_8_100,W2K8-R2-100G-20160309,10.132.11.13,,123.125.108.125,,,,ldds_idc,"DDS_TC_YUN.13
DRS_TC_YUN.13",,,,,WGQ-LDDS-M-2##172.39.33.156##172.39.34.156##172.39.36.156##172.39.11.156####,
96,EC-C1-RZF2-VM6,172.22.17.28,,0##10.132.17.30##,4_8_100,W2K8-R2-100G-20160309,10.132.17.28,,182.118.47.140,,,,"hx_sh_sz
hx_windows",,,172.22.17.232,172.22.11.13,,,
